,from,to,flow
0,21001,21045,420
1,21001,21057,16
2,21001,21087,146
3,21001,21207,293
4,21001,21217,147
5,21003,21171,141
6,21005,21073,64
7,21005,21167,445
8,21005,21229,27
9,21005,21239,62
10,21009,21061,105
11,21009,21099,162
12,21009,21169,304
13,21009,21171,165
14,21011,21165,419
15,21013,21051,95
16,21013,21095,700
17,21013,21121,101
18,21013,21131,115
19,21013,21235,96
20,21013,51105,528
21,21015,21077,177
22,21015,21081,177
23,21015,21117,183
24,21015,39061,63
25,21017,21011,419
26,21017,21173,132
27,21021,21079,534
28,21021,21137,55
29,21021,21167,149
30,21023,21161,312
31,21023,21201,9
32,21025,21119,405
33,21025,21193,545
34,21027,21093,35
35,21029,21093,129
36,21029,21111,107
37,21029,21179,184
38,21029,21215,180
39,21031,21061,143
40,21031,21085,93
41,21033,21047,290
42,21033,21107,275
43,21033,21233,35
44,21037,21117,188
45,21037,21191,194
46,21037,39025,184
47,21037,39061,34
48,21043,21127,238
49,21045,21021,191
50,21045,21137,563
51,21045,21155,10
52,21047,21177,243
53,21047,21219,47
54,21051,21013,571
55,21051,21121,32
56,21051,21131,747
57,21051,21189,185
58,21053,21231,188
59,21057,21001,83
60,21057,21053,188
61,21057,21207,60
62,21059,21091,35
63,21061,21099,248
64,21065,21129,438
65,21067,21151,348
66,21069,21205,102
67,21073,21005,59
68,21073,21209,171
69,21077,21187,177
70,21079,21151,564
71,21079,21203,365
72,21081,21097,88
73,21081,21209,330
74,21085,21093,145
75,21087,21001,44
76,21087,21123,146
77,21091,21027,35
78,21093,21099,44
79,21093,21123,23
80,21093,21179,366
81,21097,21017,240
82,21097,21181,16
83,21099,21087,44
84,21099,21093,124
85,21099,21123,286
86,21101,21059,35
87,21107,21177,275
88,21109,21051,750
89,21109,21129,98
90,21109,21189,465
91,21111,21211,107
92,21113,21151,320
93,21115,21159,64
94,21117,21081,241
95,21117,21191,130
96,21119,21133,574
97,21121,21013,110
98,21121,21051,109
99,21123,21155,455
100,21125,21051,481
101,21125,21109,71
102,21125,21121,53
103,21127,21159,238
104,21129,21025,536
105,21129,21189,100
106,21131,21095,700
107,21131,21193,162
108,21133,21095,700
109,21133,51195,453
110,21135,21043,238
111,21137,21079,86
112,21137,21203,532
113,21141,21213,141
114,21141,21227,136
115,21147,21125,68
116,21147,21235,399
117,21151,21065,438
118,21151,21109,762
119,21151,21203,32
120,21153,21119,169
121,21155,21021,498
122,21155,21045,133
123,21155,21229,10
124,21159,21195,302
125,21161,21069,93
126,21161,21135,238
127,21165,21175,131
128,21165,21237,336
129,21167,21021,14
130,21167,21079,309
131,21167,21113,320
132,21169,21001,295
133,21169,21057,9
134,21171,21057,306
135,21173,21165,48
136,21173,21197,100
137,21175,21115,64
138,21175,21153,169
139,21177,21031,236
140,21177,21141,230
141,21177,21183,52
142,21179,21005,367
143,21179,21155,166
144,21179,21229,25
145,21181,21173,16
146,21183,21085,52
147,21187,21073,59
148,21187,21209,118
149,21189,21025,78
150,21189,21051,100
151,21189,21193,572
152,21191,21023,156
153,21191,21097,168
154,21193,21095,700
155,21193,21133,579
156,21195,51195,302
157,21197,21129,100
158,21201,21069,9
159,21203,21109,480
160,21203,21125,449
161,21205,21175,102
162,21207,21045,74
163,21207,21231,279
164,21209,21017,311
165,21209,21067,286
166,21209,21239,22
167,21211,21073,107
168,21213,21003,141
169,21215,21005,172
170,21215,21179,8
171,21217,21045,137
172,21217,21155,10
173,21219,21141,47
174,21227,21009,136
175,21229,21021,35
176,21229,21167,27
177,21231,21147,467
178,21233,21101,35
179,21235,21013,374
180,21235,21121,33
181,21235,21125,88
182,21237,21025,336
183,21239,21067,62
184,21239,21167,22
185,39001,39145,97
186,39015,21161,19
187,39015,39001,97
188,39025,21023,165
189,39025,39015,116
190,39061,39025,97
191,39087,54099,97
192,39145,39087,97
193,51027,51167,97
194,51105,21095,693
195,51167,51169,97
196,51169,51105,97
197,51195,21095,687
198,51195,51105,68
199,54059,51027,97
200,54099,54059,97
