num,BH008,incident_date,total_grams,FIPSCODE1,FIPSCODE2,FIPSCODE3
3183,KY,2015-01-02,0.002,21000,21000,21000
3184,KY,2015-01-02,0.005,21000,21000,21000
3185,KY,2015-01-02,0.012,21000,21000,21000
3186,KY,2015-01-05,0.001,21000,21000,21000
3187,KY,2015-01-05,0.006,21000,21000,21000
3188,KY,2015-01-05,0.02,21000,21000,21000
3189,KY,2015-01-05,0.029,21000,21000,21000
3190,KY,2015-01-05,0.072,21000,21000,21000
3191,KY,2015-01-06,0.003,21000,21000,21000
3192,KY,2015-01-06,0.01,21000,21000,21000
3193,KY,2015-01-06,0.01,21000,21000,21000
3194,KY,2015-01-07,0.011,21000,21000,21000
3195,KY,2015-01-07,0.015,21000,21000,21000
3196,KY,2015-01-08,1.0,21000,21000,21000
3197,KY,2015-01-08,0.003,21000,21000,21000
3198,KY,2015-01-08,0.003,21000,21000,21000
3199,KY,2015-01-08,0.005,21000,21000,21000
3200,KY,2015-01-08,0.005,21000,21000,21000
3201,KY,2015-01-08,0.01,21000,21000,21000
3202,KY,2015-01-08,0.01,21000,21000,21000
3203,KY,2015-01-08,0.011,21000,21000,21000
3204,KY,2015-01-09,0.008,21000,21000,21000
3205,KY,2015-01-09,0.002,21000,21000,21000
3206,KY,2015-01-09,0.005,21000,21000,21000
3207,KY,2015-01-09,0.008,21000,21000,21000
3208,KY,2015-01-09,0.01,21000,21000,21000
3209,KY,2015-01-09,0.01,21000,21000,21000
3210,KY,2015-01-10,0.012,21000,21000,21000
3211,KY,2015-01-11,0.061,21000,21000,21000
3212,KY,2015-01-11,0.0,21000,21000,21000
3213,KY,2015-01-12,0.002,21000,21000,21000
3214,KY,2015-01-12,0.005,21000,21000,21000
3215,KY,2015-01-13,0.003,21000,21000,21000
3216,KY,2015-01-13,0.01,21000,21000,21000
3217,KY,2015-01-13,0.015,21000,21000,21000
3218,KY,2015-01-14,0.02,21000,21000,21000
3219,KY,2015-01-15,0.002,21000,21000,21000
3220,KY,2015-01-15,0.005,21000,21000,21000
3221,KY,2015-01-15,0.015,21000,21000,21000
3222,KY,2015-01-16,0.001,21000,21000,21000
3223,KY,2015-01-16,0.002,21000,21000,21000
3224,KY,2015-01-16,0.007,21000,21000,21000
3225,KY,2015-01-16,0.008,21000,21000,21000
3226,KY,2015-01-16,0.016,21000,21000,21000
