FIPS,State,Area_Name,POP_ESTIMATE_2014
00000,US,United States,318563456.00
01000,AL,Alabama,4843214.00
01001,AL,Autauga County,54977.00
01003,AL,Baldwin County,199745.00
01005,AL,Barbour County,26763.00
01007,AL,Bibb County,22511.00
01009,AL,Blount County,57621.00
01011,AL,Bullock County,10712.00
01013,AL,Butler County,20283.00
01015,AL,Calhoun County,115837.00
01017,AL,Chambers County,33996.00
01019,AL,Cherokee County,25944.00
01021,AL,Chilton County,43874.00
01023,AL,Choctaw County,13310.00
01025,AL,Clarke County,24862.00
01027,AL,Clay County,13503.00
01029,AL,Cleburne County,15076.00
01031,AL,Coffee County,50757.00
01033,AL,Colbert County,54427.00
01035,AL,Conecuh County,12621.00
01037,AL,Coosa County,10794.00
01039,AL,Covington County,37795.00
01041,AL,Crenshaw County,13898.00
01043,AL,Cullman County,81167.00
01045,AL,Dale County,49389.00
01047,AL,Dallas County,41532.00
01049,AL,DeKalb County,70947.00
01051,AL,Elmore County,80794.00
01053,AL,Escambia County,37878.00
01055,AL,Etowah County,103371.00
01057,AL,Fayette County,16821.00
01059,AL,Franklin County,31540.00
01061,AL,Geneva County,26688.00
01063,AL,Greene County,8525.00
01065,AL,Hale County,15081.00
01067,AL,Henry County,17156.00
01069,AL,Houston County,104177.00
01071,AL,Jackson County,52580.00
01073,AL,Jefferson County,659733.00
01075,AL,Lamar County,14062.00
01077,AL,Lauderdale County,93005.00
01079,AL,Lawrence County,33432.00
01081,AL,Lee County,154277.00
01083,AL,Limestone County,90640.00
01085,AL,Lowndes County,10524.00
01087,AL,Macon County,19594.00
01089,AL,Madison County,350121.00
01091,AL,Marengo County,20086.00
01093,AL,Marion County,30250.00
01095,AL,Marshall County,94320.00
01097,AL,Mobile County,414342.00
01099,AL,Monroe County,21902.00
01101,AL,Montgomery County,227193.00
01103,AL,Morgan County,119602.00
01105,AL,Perry County,9842.00
01107,AL,Pickens County,20332.00
01109,AL,Pike County,33020.00
01111,AL,Randolph County,22468.00
01113,AL,Russell County,59282.00
01115,AL,St. Clair County,86482.00
01117,AL,Shelby County,205990.00
01119,AL,Sumter County,13283.00
01121,AL,Talladega County,81216.00
01123,AL,Tallapoosa County,41027.00
01125,AL,Tuscaloosa County,202671.00
01127,AL,Walker County,65564.00
01129,AL,Washington County,16891.00
01131,AL,Wilcox County,11028.00
01133,AL,Winston County,24083.00
02000,AK,Alaska,736705.00
02013,AK,Aleutians East Borough,3296.00
